"rank","batchName","facultyPacketPath","cardId","sourceQueueId","title","category","rotation","learnerLevel","editorialStatus","missingGateCount","readyForReviewGateCount","nextGateLabel","nextGateStatus","learningStandardIds","facultyAction"
"50","P0 cardiovascular/autopsy entity card batch 2","reports/ap_p0_cv_autopsy_card_batch_2_faculty_packet.md","p0-cv-autopsy-batch-2-card-19-bed1a383-ed14-4c89-85db-bbd106e3f59f","ap_cv-bed1a383-ed14-4c89-85db-bbd106e3f59f","Neuronal Migration Disorder (e.g., Tuber)","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"51","P0 cardiovascular/autopsy entity card batch 2","reports/ap_p0_cv_autopsy_card_batch_2_faculty_packet.md","p0-cv-autopsy-batch-2-card-20-c44acc70-19b8-4fb1-bc99-a0e802537b76","ap_cv-c44acc70-19b8-4fb1-bc99-a0e802537b76","Hypoxic Encephalopathy","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"52","P0 cardiovascular/autopsy entity card batch 2","reports/ap_p0_cv_autopsy_card_batch_2_faculty_packet.md","p0-cv-autopsy-batch-2-card-21-37614ae1-7ded-42d2-bf98-c7e99745a4ee","ap_cv-37614ae1-7ded-42d2-bf98-c7e99745a4ee","Parasitic","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"53","P0 cardiovascular/autopsy entity card batch 2","reports/ap_p0_cv_autopsy_card_batch_2_faculty_packet.md","p0-cv-autopsy-batch-2-card-22-cc886e29-d71a-4be5-a765-421f4f4d4573","ap_cv-cc886e29-d71a-4be5-a765-421f4f4d4573","GVHD","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"54","P0 cardiovascular/autopsy entity card batch 2","reports/ap_p0_cv_autopsy_card_batch_2_faculty_packet.md","p0-cv-autopsy-batch-2-card-23-7b0a0cf1-16b2-4b28-b430-dea6eff5dd93","ap_cv-7b0a0cf1-16b2-4b28-b430-dea6eff5dd93","Metabolic, Nutritional, Degenerative, and Toxic Disorders","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"55","P0 cardiovascular/autopsy entity card batch 2","reports/ap_p0_cv_autopsy_card_batch_2_faculty_packet.md","p0-cv-autopsy-batch-2-card-24-ad7c2a1b-59d5-4eba-8aab-b3014e2e897a","ap_cv-ad7c2a1b-59d5-4eba-8aab-b3014e2e897a","Nevus Sebaceous","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"56","P0 cardiovascular/autopsy entity card batch 3","reports/ap_p0_cv_autopsy_card_batch_3_faculty_packet.md","p0-cv-autopsy-batch-3-card-01-88f1267c-e3d0-4293-b1f7-dc0b6de0b3b5","ap_cv-88f1267c-e3d0-4293-b1f7-dc0b6de0b3b5","The Special Senses – Eye and Ear","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Cardiovascular/autopsy faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"57","P0 cardiovascular/autopsy entity card batch 3","reports/ap_p0_cv_autopsy_card_batch_3_faculty_packet.md","p0-cv-autopsy-batch-3-card-02-076ed8a4-cafe-4ed4-883e-8b1761d11489","ap_cv-076ed8a4-cafe-4ed4-883e-8b1761d11489","Ophthalmitis","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Cardiovascular/autopsy faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"58","P0 cardiovascular/autopsy entity card batch 3","reports/ap_p0_cv_autopsy_card_batch_3_faculty_packet.md","p0-cv-autopsy-batch-3-card-03-7f4f16bb-46fe-46eb-b8cf-0ac7f8c47031","ap_cv-7f4f16bb-46fe-46eb-b8cf-0ac7f8c47031","Degenerative Conditions (e.g., Cataracts)","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Cardiovascular/autopsy faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"59","P0 cardiovascular/autopsy entity card batch 3","reports/ap_p0_cv_autopsy_card_batch_3_faculty_packet.md","p0-cv-autopsy-batch-3-card-04-402fd5d9-2f0c-4810-af9a-fca4229c5e0d","ap_cv-402fd5d9-2f0c-4810-af9a-fca4229c5e0d","The Alimentary Tract","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Cardiovascular/autopsy faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"60","P0 cardiovascular/autopsy entity card batch 3","reports/ap_p0_cv_autopsy_card_batch_3_faculty_packet.md","p0-cv-autopsy-batch-3-card-05-e9bb06bb-de72-4eb6-bc95-0bb5f8054bab","ap_cv-e9bb06bb-de72-4eb6-bc95-0bb5f8054bab","Odontogenic","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Cardiovascular/autopsy faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"61","P0 cardiovascular/autopsy entity card batch 3","reports/ap_p0_cv_autopsy_card_batch_3_faculty_packet.md","p0-cv-autopsy-batch-3-card-06-b499f6e9-d871-468e-8303-28a3947813a3","ap_cv-b499f6e9-d871-468e-8303-28a3947813a3","Metabolic / Syndromic Disorders","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Cardiovascular/autopsy faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"62","P0 cardiovascular/autopsy entity card batch 3","reports/ap_p0_cv_autopsy_card_batch_3_faculty_packet.md","p0-cv-autopsy-batch-3-card-07-fd3ed2b4-25ba-4f09-95d2-42b2ca073cc8","ap_cv-fd3ed2b4-25ba-4f09-95d2-42b2ca073cc8","Tumors and Tumor-Like Conditions","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Cardiovascular/autopsy faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"63","P0 cardiovascular/autopsy entity card batch 3","reports/ap_p0_cv_autopsy_card_batch_3_faculty_packet.md","p0-cv-autopsy-batch-3-card-08-df28a40a-75e1-41a3-9db0-6fffadbcfba7","ap_cv-df28a40a-75e1-41a3-9db0-6fffadbcfba7","Fistula","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Cardiovascular/autopsy faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"64","P0 cardiovascular/autopsy entity card batch 3","reports/ap_p0_cv_autopsy_card_batch_3_faculty_packet.md","p0-cv-autopsy-batch-3-card-09-c09ad5a1-b4ed-47cc-a054-d2ed444f6136","ap_cv-c09ad5a1-b4ed-47cc-a054-d2ed444f6136","Malrotation / Abnormal Fixation","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Cardiovascular/autopsy faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"65","P0 cardiovascular/autopsy entity card batch 3","reports/ap_p0_cv_autopsy_card_batch_3_faculty_packet.md","p0-cv-autopsy-batch-3-card-10-1ddc0428-0a81-41e0-aed7-b0dc3bd73d69","ap_cv-1ddc0428-0a81-41e0-aed7-b0dc3bd73d69","Omphalocele / Gastroschisis","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Cardiovascular/autopsy faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"66","P0 cardiovascular/autopsy entity card batch 3","reports/ap_p0_cv_autopsy_card_batch_3_faculty_packet.md","p0-cv-autopsy-batch-3-card-11-ae4624e0-3813-4a63-a77d-4f2e64b95cfd","ap_cv-ae4624e0-3813-4a63-a77d-4f2e64b95cfd","Congenital Diarrheal/Enteropathic Syndromes","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Cardiovascular/autopsy faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"67","P0 cardiovascular/autopsy entity card batch 3","reports/ap_p0_cv_autopsy_card_batch_3_faculty_packet.md","p0-cv-autopsy-batch-3-card-12-a87bb33e-726b-4001-a849-9eff57bc628c","ap_cv-a87bb33e-726b-4001-a849-9eff57bc628c","Tufting Enteropathy","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Cardiovascular/autopsy faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"68","P0 cardiovascular/autopsy entity card batch 3","reports/ap_p0_cv_autopsy_card_batch_3_faculty_packet.md","p0-cv-autopsy-batch-3-card-13-e349d5b7-d04d-48a1-9118-0b25abf962fd","ap_cv-e349d5b7-d04d-48a1-9118-0b25abf962fd","Malabsorption due to Transport or Enzyme Disorders","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Cardiovascular/autopsy faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"69","P0 cardiovascular/autopsy entity card batch 3","reports/ap_p0_cv_autopsy_card_batch_3_faculty_packet.md","p0-cv-autopsy-batch-3-card-14-bb3b8f68-e21a-4c0e-a402-e766d5e4c4ab","ap_cv-bb3b8f68-e21a-4c0e-a402-e766d5e4c4ab","Immune-Mediated Disorders","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Cardiovascular/autopsy faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"70","P0 cardiovascular/autopsy entity card batch 3","reports/ap_p0_cv_autopsy_card_batch_3_faculty_packet.md","p0-cv-autopsy-batch-3-card-15-1738b061-69b7-44bf-86ff-dc61216116a3","ap_cv-1738b061-69b7-44bf-86ff-dc61216116a3","Celiac Sprue","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Cardiovascular/autopsy faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"71","P0 cardiovascular/autopsy entity card batch 3","reports/ap_p0_cv_autopsy_card_batch_3_faculty_packet.md","p0-cv-autopsy-batch-3-card-16-36412f55-efa5-47f8-9a37-1b1f014a0deb","ap_cv-36412f55-efa5-47f8-9a37-1b1f014a0deb","Acute Appendicitis","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Cardiovascular/autopsy faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"72","P0 cardiovascular/autopsy entity card batch 3","reports/ap_p0_cv_autopsy_card_batch_3_faculty_packet.md","p0-cv-autopsy-batch-3-card-17-33be0bb4-d85b-49f4-9fa3-e10c1312210e","ap_cv-33be0bb4-d85b-49f4-9fa3-e10c1312210e","Cystic Fibrosis","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Cardiovascular/autopsy faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"73","P0 cardiovascular/autopsy entity card batch 3","reports/ap_p0_cv_autopsy_card_batch_3_faculty_packet.md","p0-cv-autopsy-batch-3-card-18-7a205465-83c8-4231-bf53-ed6c21d35fb4","ap_cv-7a205465-83c8-4231-bf53-ed6c21d35fb4","Pseudo-Obstruction","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Cardiovascular/autopsy faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"74","P0 cardiovascular/autopsy entity card batch 3","reports/ap_p0_cv_autopsy_card_batch_3_faculty_packet.md","p0-cv-autopsy-batch-3-card-19-587b2c40-83dd-4a8a-a385-a59acdc2f503","ap_cv-587b2c40-83dd-4a8a-a385-a59acdc2f503","Dysmotility Disorders","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Cardiovascular/autopsy faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"75","P0 cardiovascular/autopsy entity card batch 3","reports/ap_p0_cv_autopsy_card_batch_3_faculty_packet.md","p0-cv-autopsy-batch-3-card-20-c4afd750-e1d5-4fc5-87e4-c3179eb44f23","ap_cv-c4afd750-e1d5-4fc5-87e4-c3179eb44f23","Adenomatous","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Cardiovascular/autopsy faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"76","P0 cardiovascular/autopsy entity card batch 3","reports/ap_p0_cv_autopsy_card_batch_3_faculty_packet.md","p0-cv-autopsy-batch-3-card-21-55c87ac2-da4c-4099-8243-2066305f81d8","ap_cv-55c87ac2-da4c-4099-8243-2066305f81d8","Disorders of Bile Acid Synthesis","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Cardiovascular/autopsy faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"77","P0 cardiovascular/autopsy entity card batch 3","reports/ap_p0_cv_autopsy_card_batch_3_faculty_packet.md","p0-cv-autopsy-batch-3-card-22-51497c4c-866b-441d-a89f-0a2220572c3f","ap_cv-51497c4c-866b-441d-a89f-0a2220572c3f","Metabolic Disorders","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Cardiovascular/autopsy faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"78","P0 cardiovascular/autopsy entity card batch 3","reports/ap_p0_cv_autopsy_card_batch_3_faculty_packet.md","p0-cv-autopsy-batch-3-card-23-671ff04f-2dd0-4ca8-af51-897417f0889e","ap_cv-671ff04f-2dd0-4ca8-af51-897417f0889e","Wilson Disease","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Cardiovascular/autopsy faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"79","P0 cardiovascular/autopsy entity card batch 3","reports/ap_p0_cv_autopsy_card_batch_3_faculty_packet.md","p0-cv-autopsy-batch-3-card-24-fa8a0a7d-b22a-424d-8353-d392b2c4b2c7","ap_cv-fa8a0a7d-b22a-424d-8353-d392b2c4b2c7","Carbohydrate Disorders including Pompe","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Cardiovascular/autopsy faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"80","P0 cardiovascular/autopsy taxonomy review completion batch","reports/ap_p0_cv_taxonomy_review_card_batch_faculty_packet.md","p0-cv-taxonomy-review-card-01-475eb4ab-3238-429b-b48e-ca4d66a541dd","ap_cv-475eb4ab-3238-429b-b48e-ca4d66a541dd","Steatosis, Steatohepatitis, Metabolic Syndrome","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","contrastive-comparator; dual-coding; faculty-calibrated-safety","Resolve Faculty review: Faculty taxonomy decision, source citation, image/license status, reviewer, and last-reviewed date are not yet attached."
"81","P0 cardiovascular/autopsy taxonomy review completion batch","reports/ap_p0_cv_taxonomy_review_card_batch_faculty_packet.md","p0-cv-taxonomy-review-card-02-1ed9c3dd-c294-405a-934a-28d54bce5fee","ap_cv-1ed9c3dd-c294-405a-934a-28d54bce5fee","Diabetes Mellitus","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","contrastive-comparator; dual-coding; faculty-calibrated-safety","Resolve Faculty review: Faculty taxonomy decision, source citation, image/license status, reviewer, and last-reviewed date are not yet attached."
"82","P0 cardiovascular/autopsy taxonomy review completion batch","reports/ap_p0_cv_taxonomy_review_card_batch_faculty_packet.md","p0-cv-taxonomy-review-card-03-99a8b9d8-db08-4250-990f-91241f292200","ap_cv-99a8b9d8-db08-4250-990f-91241f292200","Shwachman-Diamond","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","contrastive-comparator; dual-coding; faculty-calibrated-safety","Resolve Faculty review: Faculty taxonomy decision, source citation, image/license status, reviewer, and last-reviewed date are not yet attached."
"83","P0 core entity card batch 1","reports/ap_p0_entity_card_batch_1_faculty_packet.md","p0-card-01-d3176b1f-e18d-49eb-b9b0-5eeeb00fadc0","ap_gu-d3176b1f-e18d-49eb-b9b0-5eeeb00fadc0","Diseases associated with acellular closure of glomerular capillaries","Medical Kidney / GU","Renal pathology / GU pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, and last-reviewed date are not yet attached."
"84","P0 core entity card batch 1","reports/ap_p0_entity_card_batch_1_faculty_packet.md","p0-card-02-59e217f3-550d-40fb-ba59-d900d6d5a5af","ap_gu-59e217f3-550d-40fb-ba59-d900d6d5a5af","Non-proliferative glomerulonephropathies","Medical Kidney / GU","Renal pathology / GU pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, and last-reviewed date are not yet attached."
"85","P0 core entity card batch 1","reports/ap_p0_entity_card_batch_1_faculty_packet.md","p0-card-03-c7c74b2a-9d75-4b81-b78b-fdbf4e85c76d","ap_gu-c7c74b2a-9d75-4b81-b78b-fdbf4e85c76d","BCG effects","Medical Kidney / GU","Renal pathology / GU pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, and last-reviewed date are not yet attached."
"86","P0 core entity card batch 1","reports/ap_p0_entity_card_batch_1_faculty_packet.md","p0-card-04-bc90e1cf-b575-4be6-95e0-95b105b8efaa","ap_gu-bc90e1cf-b575-4be6-95e0-95b105b8efaa","Diverticula","Medical Kidney / GU","Renal pathology / GU pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, and last-reviewed date are not yet attached."
"87","P0 core entity card batch 1","reports/ap_p0_entity_card_batch_1_faculty_packet.md","p0-card-05-2acaf2ec-9515-4398-a7b4-6c624aa84638","ap_gu-2acaf2ec-9515-4398-a7b4-6c624aa84638","Urethral polyp","Medical Kidney / GU","Renal pathology / GU pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, and last-reviewed date are not yet attached."
"88","P0 core entity card batch 1","reports/ap_p0_entity_card_batch_1_faculty_packet.md","p0-card-06-da4bc31a-bf36-45b7-92cc-f3cd0c717c5a","ap_placenta-da4bc31a-bf36-45b7-92cc-f3cd0c717c5a","Chorangioma","Placenta","Placenta/perinatal pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, and last-reviewed date are not yet attached."
"89","P0 core entity card batch 1","reports/ap_p0_entity_card_batch_1_faculty_packet.md","p0-card-07-258e3696-8b48-4e97-a509-e7c209aeaa4c","ap_placenta-258e3696-8b48-4e97-a509-e7c209aeaa4c","Fetal Membrane Abnormalities","Placenta","Placenta/perinatal pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, and last-reviewed date are not yet attached."
"90","P0 core entity card batch 1","reports/ap_p0_entity_card_batch_1_faculty_packet.md","p0-card-08-5becad66-bbe5-44de-ac72-11551d2d7176","ap_placenta-5becad66-bbe5-44de-ac72-11551d2d7176","Amnion nodosum","Placenta","Placenta/perinatal pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, and last-reviewed date are not yet attached."
"91","P0 core entity card batch 1","reports/ap_p0_entity_card_batch_1_faculty_packet.md","p0-card-09-4a7a821e-af51-4637-87d8-ea230c5586fe","ap_placenta-4a7a821e-af51-4637-87d8-ea230c5586fe","Chorioamnionitis","Placenta","Placenta/perinatal pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, and last-reviewed date are not yet attached."
"92","P0 core entity card batch 1","reports/ap_p0_entity_card_batch_1_faculty_packet.md","p0-card-10-146a6aef-b3a9-42c3-90ff-7786f0e19599","ap_placenta-146a6aef-b3a9-42c3-90ff-7786f0e19599","Other fetal membrane abnormalities","Placenta","Placenta/perinatal pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, and last-reviewed date are not yet attached."
"93","P0 core entity card batch 1","reports/ap_p0_entity_card_batch_1_faculty_packet.md","p0-card-11-0391c938-98b7-4f43-aee1-226ec67a227a","ap_placenta-0391c938-98b7-4f43-aee1-226ec67a227a","Abruption","Placenta","Placenta/perinatal pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, and last-reviewed date are not yet attached."
"94","P0 core entity card batch 1","reports/ap_p0_entity_card_batch_1_faculty_packet.md","p0-card-12-9ebe3f0e-f08e-437a-abd2-fe06aee0554e","ap_placenta-9ebe3f0e-f08e-437a-abd2-fe06aee0554e","Infarcts","Placenta","Placenta/perinatal pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, and last-reviewed date are not yet attached."
"95","P0 core entity card batch 1","reports/ap_p0_entity_card_batch_1_faculty_packet.md","p0-card-13-30aabdd9-30e4-4d72-b501-5267be93a4c4","ap_placenta-30aabdd9-30e4-4d72-b501-5267be93a4c4","Villitis and intervillositis","Placenta","Placenta/perinatal pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, and last-reviewed date are not yet attached."
"96","P0 core entity card batch 1","reports/ap_p0_entity_card_batch_1_faculty_packet.md","p0-card-14-11519070-c819-4729-ab40-3628bfc77152","ap_placenta-11519070-c819-4729-ab40-3628bfc77152","Umbilical Cord Abnormalities","Placenta","Placenta/perinatal pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, and last-reviewed date are not yet attached."
"97","P0 core entity card batch 1","reports/ap_p0_entity_card_batch_1_faculty_packet.md","p0-card-15-e8f2ed40-ae50-4f8c-bf9d-7ee2eba1cda3","ap_placenta-e8f2ed40-ae50-4f8c-bf9d-7ee2eba1cda3","Blood vessel abnormalities","Placenta","Placenta/perinatal pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, and last-reviewed date are not yet attached."
"98","P0 core entity card batch 1","reports/ap_p0_entity_card_batch_1_faculty_packet.md","p0-card-16-87ab0736-d554-496f-a2c4-cd4b2ae7bbfe","ap_placenta-87ab0736-d554-496f-a2c4-cd4b2ae7bbfe","Funisitis","Placenta","Placenta/perinatal pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, and last-reviewed date are not yet attached."
